channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_view_count,video_comment_count,video_like_count,video_dislike_count,video_thumbnail,video_tags,collection_date,day,day_published,publish_date
TODAY,UChDKyKQ59fYz3JO2fl0Z6sg,1694545214.0,Eagles' Jason Kelce pulls back curtain on life in the NFL in new doc,"Philadelphia Eagles’ star Jason Kelce and his wife open up about the new Prime Video documentary ""Kelce"" that pulls back the curtain on life in the NFL. NBC’s Kaylee Hartung reports for TODAY.

» Subscribe to TODAY: http://on.today.com/SubscribeToTODAY
» Watch the latest from TODAY: http://bit.ly/LatestTODAY
About: TODAY brings you the latest headlines and expert tips on money, health and parenting. We wake up every morning to give you and your family all you need to start your day. If it matters to you, it matters to us. We are in the people business. Subscribe to our channel for exclusive TODAY archival footage & our original web series.

Connect with TODAY Online!
Visit TODAY's Website: http://on.today.com/ReadTODAY
Find TODAY on Facebook: http://on.today.com/LikeTODAY
Follow TODAY on Twitter: http://on.today.com/FollowTODAY
Follow TODAY on Instagram: http://on.today.com/InstaTODAY

» Stream TODAY All Day: https://www.today.com/allday
About: TODAY All Day is a 24/7 streaming channel bringing you the top stories in news and pop culture, celebrity interviews, cooking, and more. All in one place.

#football #philadelphia #jasonkelce",25,1060861,268,8496,,https://i.ytimg.com/vi/CycfFobNPlI/hqdefault.jpg,Al Roker|Entertainment|Food|Hoda Kotb|International News|Money|Natalie Morales|Savannah Gutherie|Sports|Style|Today|Today Show|breaking news|concerts|domestic news|health|home|interviews|media|parents|pets|politics|shopping|weather,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-12 19:00:14
ESPN,UCiWLfSweyRNmLpgEHekhoAg,1694562365.0,Weighing in on Travis Kelce-Taylor Swift reportedly 'quietly hanging out' | The Pat McAfee Show,"The Pat McAfee Show speaks on the developing saga between Taylor Swift and Travis Kelce after multiple sources are reporting on the power duo's whereabouts.

✔️Subscribe to ESPN+ http://espnplus.com/youtube
✔️ Get the ESPN App: http://www.espn.com/espn/apps/espn
✔️Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE
✔️ Subscribe to NBA on ESPN on YouTube: http://bit.ly/SUBSCRIBEtoNBAonESPN
✔️ Watch ESPN on YouTube TV: http://es.pn/YouTubeTV",17,83647,221,850,,https://i.ytimg.com/vi/sNCQU6t5UzY/hqdefault.jpg,Weighing in on Travis Kelce-Taylor Swift|'quietly hanging out'|The Pat McAfee Show|Travis Kelce-Taylor Swift|Travis Kelce|Taylor Swift|McAfeeESPN2023,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-12 23:46:05
Brianna Diogo,UCFlUByMJmqjFzR5S6J2lXEw,1694572949.0,Travis Kelce is dating Taylor Swift and I don’t know how to feel #nflnews,,10,30337,43,928,,https://i.ytimg.com/vi/SpKnXopkWFs/hqdefault.jpg,,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 02:42:29
KentSports,UCujqzMePoaIKS38qguhwh5A,1694585163.0,Travis Kelce wore a John Mayer (Taylor Swift ex) shirt on his podcast today. Coincidence? I think no,,17,4317,0,39,,https://i.ytimg.com/vi/56b1F4r7Zjs/hqdefault.jpg,,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 06:06:03
KentSports,UCujqzMePoaIKS38qguhwh5A,1694567676.0,Is Taylor Swift dating NFL star Travis Kelce of the Kansas City Chiefs?!,,17,3617,6,92,,https://i.ytimg.com/vi/wzMl9egMDdI/hqdefault.jpg,,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 01:14:36
Page Six,UCNWsXxEbKkKXOYzw-SwaXoA,1694568530.0,Taylor Swift is reportedly ‘hanging out’ with NFL star Travis Kelce,"Taylor Swift and NFL star Travis Kelce have reportedly been seeing each other for a few weeks.

The “Cruel Summer” songstress and the hunky football player allegedly linked up after Kelce tried — and failed — to give Swift his phone number at one of her recent Eras Tour concerts, according to the Messenger.

“Taylor and Travis have been quietly hanging out,” an insider told the outlet. “She saw him when she was in NYC a few weeks ago.”

Reps for Kelce and Swift, both 33, did not immediately return Page Six’s request for comment.

Read more at https://pagesix.com/2023/09/12/taylor-swift-is-reportedly-hanging-out-with-nfl-star-travis-kelce/

#taylorswift #traviskelce #celebrities

Page Six is your source for celebrity news, gossip, entertainment, pop culture, photos, video and more.

Catch the latest news and gossip here:
https://pagesix.com/
Follow us on:
Facebook - https://www.facebook.com/pagesix/
Twitter - https://twitter.com/PageSix 
Instagram - https://www.instagram.com/pagesix/

Check out We Hear, our Page Six podcast!
https://podcasts.apple.com/us/podcast/we-hear/id1479076951
https://open.spotify.com/show/4A4v65sX7nIHpEtrYnInDm
 
And Page Six Style has the latest news on celebrity style including fashion trends, red carpet photos, and beauty tips.

Catch the latest news here: https://pagesix.com/style/
Follow us on:
Facebook - https://www.facebook.com/pagesix/
Twitter - https://twitter.com/PageSix",24,2404,3,14,,https://i.ytimg.com/vi/nxUd_evP2iU/hqdefault.jpg,page six|page six tv|page six style|news|celebrity news|gossip|celebrity gossip|celebrity|celeb|celebs|celebrities|entertainment|fashion|pop culture|entertainment news|celeb news|taylor swift|travic kelce|taylor swift travis kelce|taylor swift travis kelce dating|taylor swift and travis kelce|taylor swift songs|taylor swift eras tour|taylor swift dating|taylor swift eras tour concert|taylor swift travis|taylor swift new man|travis kelce taylor swift,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 01:28:50
Taylor Swift Updates,UC96qVt1LJG4etpRNs2iFvjQ,1694567009.0,Taylor Swift new boyfriend is Travis Kelce - NFL player *CUTE* ♥️😍 #talyorswift,,10,1647,4,50,,https://i.ytimg.com/vi/dWidTi5XZaA/hqdefault.jpg,taylor swift|travis kelce|taylor’s version,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 01:03:29
SUNews,UC--USu1xryT3rdXrIqBe8Fg,1694586661.0,"News: Taylor Swift is reportedly ‘hanging out’ with NFL star Travis Kelce, SUNews","News: Taylor Swift is reportedly ‘hanging out’ with NFL star Travis Kelce, SUNews
Hello Everyone and welcome back everyone! I'm so glad to see you here on my Channel. I really need your feedback on my videos about : 
1. Video Quality 
2. Type of Breaking News and News Clip Content that you want.
Thank you for your comment. I will make better videos for you. you’re my family.

Subscribe here https://www.youtube.com/channel/UC--USu1xryT3rdXrIqBe8Fg
---------------------------------------------------------------------
Welcome to our channel SUNews English and News Clip
Thank you for being a part of and supporting our videos on our channel. Your support is mean so much to us, and we've appreciated your support.
Please kindly subscribe and click on the bell icon for the last update for our videos. 

Once again thank you for your love and supports, 
Love from SUNews English!!!!!!",24,828,0,4,,https://i.ytimg.com/vi/GpF1nTkrGhg/hqdefault.jpg,CELEBRITY CHILDREN|CELEBRITY EXES|CELEBRITY WEDDINGS|TEENS|world news|news world|english news|breaking news|live news|news today|SUNews|SUNews English|taylor swift|taylor swift songs|taylor swift playlist|karma taylor swift|august taylor swift|you're losing me taylor swift|anti hero taylor swift|travis kelce|travis kelce injury|travis kelce highlights|derwin james travis kelce|travis kelce interview|travis kelce fight,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 06:31:01
Nasrothschild,UCWtLy4outyx_hqNyMy9h1Aw,1694560174.0,Taylor Swift and NFL player Travis Kelce have been “quietly hanging out”,,24,637,4,8,,https://i.ytimg.com/vi/OqNUKoZ0wT8/hqdefault.jpg,,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-12 23:09:34
*THE ONE BLOG*,UC15iSqI0C22DVQTrySMYb1g,1694571565.0,Taylor Swift 'HANGING OUT' with football player Travis Kelce. after he tried and failed 2 months ago,"#taylorswift #traviskelce #hangout 
#love #swifties #fans #dontmissit #entertainment #foryou #viral #dontmiss #usa #trending #newvideo 
The Eras Tour performer has reportedly been dating football star Travis Kelce, a tight end with the Kansas City Chiefs. They are both 33-years-old.  'Taylor and Travis have been quietly hanging out,' a source told The Messenger on Tuesday.
'She saw him when she was in New York City a few weeks ago.'
Hello guys hope u enjoyed the video..I will love to see u in the next video.thank  u'll😊",24,364,2,2,,https://i.ytimg.com/vi/kDg0U-Ayp6M/hqdefault.jpg,,2023-11-28 17:17:59.687103,1,2023-09-12,2023-09-13 02:19:25
